town,rmType,blk,unitNum,level,sqm,sellingPrice,Color,repurchasedFlat,Leaselessthan60yrs,street,probablecompletiondate,deliveryPossessiondate,leaseCommencementdate,availableEthnicQuotaMl,availableEthnicQuotaCh,availableEthnicQuotaIn,lastUpdate,NearestMrt,DistToMrt,blkX,blkY
Punggol,4-Room,232B,#03-373,3,93,311200,#000099,,,SUMANG LANE,-,NA (Keys Available),1-Nov-18,Malay-5,Chinese-5,Indian/ Other Races,Last Updated on 18 Nov 2018_1:03:00 AM,Soo Teck LRT,729.5547977,945,1866
Punggol,4-Room,232B,#08-373,8,93,331300,#000099,,,SUMANG LANE,-,NA (Keys Available),1-Nov-18,Malay-5,Chinese-5,Indian/ Other Races,Last Updated on 18 Nov 2018_1:03:00 AM,Soo Teck LRT,729.5547977,945,1866
Punggol,4-Room,232B,#11-373,11,93,330200,#000099,,,SUMANG LANE,-,NA (Keys Available),1-Nov-18,Malay-5,Chinese-5,Indian/ Other Races,Last Updated on 18 Nov 2018_1:03:00 AM,Soo Teck LRT,729.5547977,945,1866
Punggol,4-Room,232B,#10-375,10,93,333500,#000099,,,SUMANG LANE,-,NA (Keys Available),1-Nov-18,Malay-5,Chinese-5,Indian/ Other Races,Last Updated on 18 Nov 2018_1:03:00 AM,Soo Teck LRT,729.5547977,945,1866
Punggol,4-Room,232B,#12-377,12,93,336300,#000099,,,SUMANG LANE,-,NA (Keys Available),1-Nov-18,Malay-5,Chinese-5,Indian/ Other Races,Last Updated on 18 Nov 2018_1:03:00 AM,Soo Teck LRT,729.5547977,945,1866
Yishun,4-Room,677C,#13-1964,13,93,311800,#000099,,,YISHUN RING RD,-,NA (Keys Available),1-Oct-18,Malay-0,Chinese-1,Indian/ Other Races,Last Updated on 18 Nov 2018_1:08:31 AM,Khatib,1013.148848,1742,2549
Bukit Batok,5-Room,292C,#26-232,26,113,507200,#000099,,,BT BATOK EAST AVE 6,-,NA (Keys Available),1-Jan-19,Malay-2,Chinese-2,Indian/ Other Races,Last Updated on 18 Nov 2018_1:09:01 AM,Bukit Batok,790.741832,2045,2705
Bukit Batok,5-Room,292C,#04-234,4,113,435200,#000099,,,BT BATOK EAST AVE 6,-,NA (Keys Available),1-Jan-19,Malay-2,Chinese-2,Indian/ Other Races,Last Updated on 18 Nov 2018_1:09:01 AM,Bukit Batok,790.741832,2045,2705
Jurong West,5-Room,166A,#02-14,2,113,359200,#000099,,,YUNG KUANG RD,-,NA (Keys Available),1-Oct-18,Malay-3,Chinese-3,Indian/ Other Races,Last Updated on 18 Nov 2018_1:06:52 AM,Lakeside,1468.846942,3626,2335
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
